# net 26
17 20
18 20
19 20
20 20
21 20
22 20
23 20
24 20
25 20
26 20
27 20
28 20
29 20
30 20
31 20
32 20
33 20
34 20
35 20
36 20
37 20
38 20
39 20
40 20
41 20
42 20
43 20
44 20
45 20
46 20
47 20
48 20
49 20
50 20
51 20
52 20
53 20
54 20
55 20
56 20
57 20
58 20
59 20
59 19
59 18
59 17
59 16
59 15
59 14

# net 27
29 10
28 10
27 10
26 10
25 10
24 10
23 10
22 10
21 10
20 10
19 10
18 10
17 10
16 10
15 10
14 10
13 10
12 10
11 10
10 10
9 10
8 10
7 10
6 10
5 10
4 10
4 11
4 12
4 13
4 14
4 15
4 16
4 17
4 18
4 19
4 20
4 21
4 22
4 23
4 24
4 25
4 26
4 27
4 28
4 29
4 30
4 31
4 32
4 33

# net 9
57 23
56 23
55 23
54 23
53 23
52 23
51 23
50 23
49 23
48 23
47 23
46 23
45 23
44 23
43 23
42 23
41 23
40 23
39 23
38 23
37 23
36 23
35 23
34 23
33 23
32 23
31 23
30 23
29 23
28 23
27 23
26 23
25 23
24 23
23 23
22 23
21 23
20 23
19 23
18 23
17 23
16 23
16 24
16 25
16 26
16 27
16 28
16 29

# net 0
57 46
57 45
57 44
57 43
57 42
57 41
57 40
57 39
57 38
57 37
57 36
57 35
57 34
57 33
57 32
57 31
57 30
57 29
57 28
57 27
57 26
57 25
58 25
58 24
58 23
58 22
57 22
56 22
55 22
54 22
53 22
52 22
51 22
50 22
49 22
48 22
47 22
46 22
45 22
44 22
43 22
42 22
41 22
40 22
39 22
38 22
37 22
36 22
35 22

# net 15
2 28
2 29
2 30
2 31
2 32
2 33
2 34
2 35
2 36
2 37
2 38
2 39
2 40
2 41
2 42
2 43
2 44
2 45
2 46
2 47
2 48
2 49
2 50
3 50
4 50
5 50
6 50
7 50
8 50
9 50
10 50
11 50
12 50
13 50
14 50
15 50
16 50
17 50
18 50
19 50
20 50
21 50
22 50
23 50
24 50
25 50
26 50

# net 2
13 19
14 19
15 19
16 19
17 19
18 19
19 19
20 19
21 19
22 19
23 19
24 19
25 19
26 19
27 19
28 19
29 19
30 19
31 19
32 19
33 19
34 19
35 19
36 19
37 19
38 19
39 19
40 19
41 19
42 19
43 19
43 18
43 17
43 16
43 15
43 14
43 13
43 12
43 11
43 10
43 9
43 8
43 7
43 6
43 5

# net 18
40 43
40 42
40 41
40 40
40 39
40 38
40 37
40 36
40 35
40 34
40 33
40 32
40 31
40 30
40 29
40 28
40 27
40 26
40 25
40 24
40 23
40 22
40 21
40 20
40 19
40 18
40 17
40 16
40 15
40 14
40 13
40 12
40 11
40 10
40 9
40 8
40 7
40 6
40 5
40 4
40 3
40 2
40 1

# net 43
